Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
N/A,"
            *NEW * Navy Blue Fashion Original,  Designed Double Straps Sexy Top Size S
          ","
              C$31
            ","
              US S
            ","
          *NEW * Navy Blue Fashion Original,  Designed Double Straps Sexy Top Size S. 
95% Polyester 
5% Spandex 
Made in Colombia
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue",N/A,2471,700+,2 days,85,https://poshmark.ca/listing/NEW-Navy-Blue-Fashion-Original-Designed-Double-Straps-Sexy-Top-Size-S-60b918213a0db9e58147b825
Veronica Beard,"
            Veronica Beard Walker Pintucked Silk Blouse / Size 8 / White Green Kate Schelter
          ","
              C$200
            ","
              US 8
            ","
          Veronica Beard x Kate Schelter Walker Blouse in White Multi.
Size 8.
Excellent pre-owned condition.

--
Armpit to armpit: 20""
Length: 24""
--

Details:
- Feminine limited edition blouse from collab with artist Kate Schelter
- Ivory, yellow and green daisy floral print
- Lightweight semi-sheer silk
- Pintucked neckline with single button closure
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A",N/A,1544,800+,2 days,93,https://poshmark.ca/listing/Veronica-Beard-Walker-Pintucked-Silk-Blouse-Size-8-White-Green-Kate-Schelter-668dfc90d6c0dcfa8d751650
Brunette The Label,"
            Brunette the label-NWT THE ""MAMA"" CURSIVE CLASSIC CREW NECK SWEATSHIRT BLACK
          ","
              C$55
            ","
              US 2X
            ","
          NWT limited edition ""Mama"" Classic Crew Neck Sweatshirt. 

Classic Crew Neck Sweatshirt features a drop shoulder and fits relaxed through the body. We recommend staying true to size for a slightly slouchy fit or size up for an oversized look. Our signature cotton and polyester fleece blend will keep you cozy all day, every day.

Details:
Relaxed Fit
55% Polyester 45% Cotton

Care: 
Machine wash cold
Dry flat
Do not bleach
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black",N/A,540,300+,1 day,61,https://poshmark.ca/listing/Brunette-the-labelNWT-THE-MAMA-CURSIVE-CLASSIC-CREW-NECK-SWEATSHIRT-BLACK-66dca5fc0c0a3f72eaf62a99
Islander,"
            Islander beach long sleeve summer shirt.
          ","
              C$23
            ","
              US S
            ","
          This beautiful summer top features, a lightweight fabric with some give, and nice detailing around the neck.
Ptp 21
Length 30
Reposhing from sherygablehaus
Stock photo for inspiration/fit, not same item. 
______________________________ 
🌿Ambassador II ⭐️, 5/5 rated. 
🌿See 🎈$5-10 Finds! Bundle and save. 
🌿SAVE $15 on first purchase when you sign up for Poshmark with my code “classy_posh”.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, White, Cream, N/A, N/A, N/A",N/A,2270,1100+,3 days,100+,https://poshmark.ca/listing/Islander-beach-long-sleeve-summer-shirt-66d1145828e1e054fc7b3739
George,"
            2/$15 Women's George Ruffle Red And Black Shirt Short Sleeve- Polyester-Medium
          ","
              C$12
            ","
              US M
            ","
          𝅺Mix and match with any 2/$15 items in my closet! 

Women's ruffle short sleeve shirt size medium in excellent condition very strechy. Measurements in photos. 
92% polyester 
8% spandex

Smoke free home 🏠
Check out my other listings, no offer is too low
Bundle & Save $$$!!


Use code ALANNAR389 for $15 off your first order!
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red, Black, N/A, N/A, N/A",N/A,1007,600+,1 day,63,https://poshmark.ca/listing/215-Womens-George-Ruffle-Red-And-Black-Shirt-Short-Sleeve-PolyesterMedium-66cfbe777321b041766b5090
Free People,"
            Intimately Free People Rib Bodysuit Thong Small Stretchy Army Green Ribbed Tank
          ","
              C$15
            ","
              US S
            ","
          Intimately Free People “Rib Bodysuit” - Thong - Army Green - Size XS/S

A 100% authentic Free People item. 

Very gently used thong bodysuit in very good condition. Worn and washed less than 5 times, always hung to dry. Minor signs of age related wear may be noted. Please see photos, read description and ask any questions prior to purchase. 

Measurements are per the Free People size chart and are as follows: 
Size: XS/Small 
Conversion Size: 0 to 6 
Bust: 33” - 36” 
Waist: 25” - 28” 
Hip: 35” - 38”

This bodysuit is made of ribbed fabric and is very stretchy! It features a double snap gusset for easy on and off access. 

As per Free People: “Soft ribbing textures a shapely, tank-style thong bodysuit ideal for everyday layering”. 

Official name and colour: Army Green. 

Bundle up your items for huge savings! 

Let me know if you have questions. I am thrilled to work with any offer. All pieces come from a smoke & pet free home. I ship quickly with maximum love and care. Thanks for stopping by and please take a look at my other items. 💫
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Green, N/A, N/A, N/A",N/A,1063,900+,2 days,100+,https://poshmark.ca/listing/Intimately-Free-People-Rib-Bodysuit-Thong-Small-Stretchy-Army-Green-Ribbed-Tank-66cfe7ca6ccbb6446d2f7906
Free People,"
            BNWOT FREE PEOPLE HANNAH TUNIC VEST XS
          ","
              C$65
            ","
              US XS
            ","
          Extra small
Blue
Brand new without tags
$98US
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, N/A, N/A",N/A,464,300+,1 day,41,https://poshmark.ca/listing/BNWOT-FREE-PEOPLE-HANNAH-TUNIC-VEST-XS-66ad675f6af5755ab4d58168
90 Degree By Reflex,"
            90 DEGREE PINK RACERBACK TANK TOP - Size Small
          ","
              C$19
            ","
              US S
            ","
          Very good pre-worn tank top

Ruching on back, no rips or stains

Pit to pit:  14”
Length from Shoulder: 27”

From a smoke free and pet free home
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, N/A, N/A, N/A",N/A,994,500+,1 day,83,https://poshmark.ca/listing/90-DEGREE-PINK-RACERBACK-TANK-TOP-Size-Small-66ce7607ba3d482695f09cf8
torrid,"
            0X Sculpting Knit Scoop Neck Elbow Sleeve Top Torrid
          ","
              C$55
            ","
              US 0X
            ","
          Torrid
Sculpting Knit Scoop Neck Elbow Sleeve Top

Sculpting Knit jersey fabric: Smooths, contours and defines your shape with sculpting technology.
Stretch level: Maximum.
82% nylon, 18% spandex.
Scoop neckline. 
Elbow sleeves.

Size 0 or US 12
PTP 17.5""

A10JL
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black",N/A,752,200+,1 day,42,https://poshmark.ca/listing/0X-Sculpting-Knit-Scoop-Neck-Elbow-Sleeve-Top-Torrid-66956843c3837236fa57e5af
Hollister,"
            Hollister ‘Must Have Collection’ Striped Cropped Long Sleeve Hoodie Sz S
          ","
              C$28
            ","
              US S
            ","
          Super soft and comfortable.  In excellent pre owned condition.  See photos for detail and measurements. All clothing items I list come to you clean and to the best of my knowledge free of rips, tears and stains unless disclosed in the listing.  From a smoke free, pet free home.   

❤️ 50% Off Bundles of 4 or more   ❤️ 35% Off Bundles of 3   ❤️ 25% Off Bundles of 2

Due to the pre-owned nature of most of my items, there may be gentle wear (excluding NWT items). Any relevant damage is communicated on the individual items’ descriptions. Please review my product remarks in full and do not hesitate to ask for any additional information.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, White, N/A, N/A, N/A",N/A,5085,4200+,1 day,100+,https://poshmark.ca/listing/Hollister-Must-Have-Collection-Striped-Cropped-Long-Sleeve-Hoodie-Sz-S-66dadb185c465e035f93e703
Free People,"
            Free People To The Tropics Red Floral Blouse  with Blouson Sleeves Medium
          ","
              C$75
            ","
              US M
            ","
          Free People To The Tropics Blouson Sleeve Top 

Size medium, please see measurements below 

""Whether it's work or play, the floral print combined with the blouson sleeves make this top a contemporary addition to your wardrobe.""

Scooped neck
Long sleeves
Blouson sleeves 
Black with red floral pattern and subtle blue flecks throughout 

95% Rayon
5% Spandex

Flat Lay Measurements:
14"" Armpit to armpit
24-26"" Long in front

In excellent preowned condition, no visible flaws 

✅ Offers always welcome!
🎁 Bundle and save
🚭 Non smoking, pet free home
📦 Fast Shipping
💲New to Posh? Use code asclosetrefresh at signup for $15 off your first purchase
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Red, Black, N/A, N/A, N/A",N/A,1502,800+,1 day,100+,https://poshmark.ca/listing/Free-People-To-The-Tropics-Red-Floral-Blouse-with-Blouson-Sleeves-Medium-66b6923774cb470ec244556b
Antels MXM,"
            Vintage red floral button down blouse size:L. Antels MXM
          ","
              C$30
            ","
              US L
            ","
          Material: unknown 

Still looking for that perfect red addition to your wardrobe this fall? We’ll look no more!This blouse has some shimmer design that just look so exquisite when hit by light at a certain angle. It also comes with a sewn in bow! The different red shades add so much dimension
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Red, N/A, N/A, N/A",N/A,97,50+,2 days,7,https://poshmark.ca/listing/Vintage-red-floral-button-down-blouse-sizeL-Antels-MXM-66d669ef0841b94aeca0a5a5
Wilfred,"
            Wilfred Long Sleeve Patterned Button Down Blouse Small
          ","
              C$35
            ","
              US S
            ","
          Wilfred Long Sleeve Patterned Button Down Blouse with tie front EUC

Women small

100% Polyester
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink, Black, N/A, N/A, N/A",N/A,2643,1500+,2 days,100+,https://poshmark.ca/listing/Wilfred-Long-Sleeve-Patterned-Button-Down-Blouse-Small-66d6ff77325187777a6b8d4b
Brunette The Label,"
            Brunette The Label Grey Babes Supporting Babes Sweatshirt
          ","
              C$45
            ","
              US S
            ","
          Size: XS/S
Pit to pit: 18.5”
Length: 25.5”

In good, gently used condition.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Gray, N/A, N/A",N/A,4950,4200+,2 days,100+,https://poshmark.ca/listing/Brunette-The-Label-Grey-Babes-Supporting-Babes-Sweatshirt-66daa69ded3f4aca4e09691c
Universal Studios Wizarding World,"
            Harry Potter Wizarding World Sweatshirt Blue Drawstring Super Soft Women's M
          ","
              C$30
            ","
              US M
            ","
          Condition: pre-owned, like new.

Keywords: Universal Studios Wizarding World, glasses, lightning bolt, stripes, 

- Sizes are shown in photos. 
- All measurements are approximate.
- Offers are welcome. 
- Same/next-day shipping. 
- Questions welcome.

T-185
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, N/A, N/A, N/A",N/A,709,400+,1 day,77,https://poshmark.ca/listing/Harry-Potter-Wizarding-World-Sweatshirt-Blue-Drawstring-Super-Soft-Womens-M-66cfd5c728e1e03d2faabf31
N/A,"
            EXPRESS Clothing BODY CONTOUR RIBBED HIGH NECK THONG BODYSUIT new with t…
          ","
              C$28
            ","
              US M
            ","
          EXPRESS Clothing BODY CONTOUR RIBBED HIGH NECK THONG BODYSUIT
New with tag
Size Medium 
Fitted, ribbed and flattering 

High crew neck
Sleeveless
Double layer front and back
Ribbed fabric
Bottom snap closure; Thong cut
Compression
        ",N/A,"N/A, N/A, N/A",N/A,913,600+,1 day,100+,https://poshmark.ca/listing/EXPRESS-Clothing-BODY-CONTOUR-RIBBED-HIGH-NECK-THONG-BODYSUIT-new-with-t-66a368d9f62533824dd33c3a
Sunday in Brooklyn,"
            Sunday in Brooklyn Grey Striped Layered Tank Top Size Medium
          ","
              C$25
            ","
              US M
            ","
          Sunday in Brooklyn Grey Striped Layered Tank Top 
Size Medium
Grey Tank Top With Blue Striped Bottom Layer
60% cotton 40% polyester

Length Approximately 25""
Shoulder To Shoulder Approximately 15.5""
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, Blue, N/A, N/A",N/A,1080,800+,2 days,100+,https://poshmark.ca/listing/Sunday-in-Brooklyn-Grey-Striped-Layered-Tank-Top-Size-Medium-66da58788d997776abd7a9e7
Columbia,"
            Womens  Large Columbia Fleece 1/4 Zip Up Sweater
          ","
              C$25
            ","
              US L
            ","
          Measurements in photos
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Red, Pink, N/A, N/A, N/A",N/A,245,100+,1 day,12,https://poshmark.ca/listing/Womens-Large-Columbia-Fleece-14-Zip-Up-Sweater-66dbb753013d2ab305e2a701
Avon,"
            💥4 for $25💥Mark by Avon Black blouse
          ","
              C$10
            ","
              US S
            ","
          Black short sleeve blouse

size small 
mark by Avon 

Buy alone, or Bundle this item with 3 other items marked 💥4 for $25💥 for some major savings! Simply add 4 items marked 💥4 for $25💥 to a bundle and send a $25 offer, and I will accept!

New to Poshmark? Use code CIELLEIGH at sign-up to save $15 on your first purchase!!

📦 Prompt shipper
🏡 Clean & smoke-free home
♻️Most items are shipped with reused/recycled material, it may not be pretty to you but it's pretty to the environment🌱. Please reuse/recycle my packaging where you can.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black",N/A,3881,1200+,1 day,100+,https://poshmark.ca/listing/4-for-25Mark-by-Avon-Black-blouse-66c35c50b2780cc6d3618dc4
