Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Puma,"
            Puma men’s essentials golf  purple shirt
          ","
              C$18
            ","
              US L
            ","
          Puma men’s essentials golf purple shirt size large in beautiful shape 

Feel free to ask if you are in doubt 🌸💕
Bundle to save 🍂🤎
        ","Seller Discount: 15% off 4+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Purple",N/A,171,5+,1 day,--,https://poshmark.ca/listing/Puma-mens-essentials-golf-purple-shirt-66e5dab7db3a6f74bd883cd7
Garage,"
            Garage Oversized Crewneck Sweatshirt
          ","
              C$40
            ","
              US M
            ","
          Garage Oversized Crewneck Sweatshirt

Color: Pebble Grey with ""New York"" Art

Features: 
Fleece interior
Ribbed cuffs, waistband and neckline
Dropped shoulders

Size: Medium 

Fit: Oversized
Length: Long — Intended to hit below the hips

Approximate Lay Flat Measurements: 
Shoulder to Shoulder: 25.5"" 
Armpit to Armpit: 25.5"" 
Length: 26"" front & 28"" back 

Material:65% Cotton & 35% Polyester 

Condition: In a excellent pre-owned condition

* Colors in photos may look different due to lighting, screens etc. Pictures 1-3 is the closest colors of the Sweatshirt.
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A",N/A,1349,700+,1 day,98,https://poshmark.ca/listing/Garage-Oversized-Crewneck-Sweatshirt-66d3d50814d7a6228ca3bae9
lululemon athletica,"
            NWT Lululemon tank top
          ","
              C$45
            ","
              US 10
            ","
          Color: light pastel green called springtime
Relaxed fit, hip length
Open back design
Added Lycra fibre for stretch and shape retention
        ","Price Dropped: 10%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Green",N/A,2617,1800+,1 day,100+,https://poshmark.ca/listing/NWT-Lululemon-tank-top-607b05d0a4de41484df448ab
Burton,"
            Burton Ride long sleeve top size small
          ","
              C$25
            ","
              US S
            ","
          Burton ride long sleeve top
Size small 
Does have a mark on the armpit to armpit so price reflects still in good condition with lots of wear left
Armpit to armpit 21”
Length from shoulder to hem 29”
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink, Black",N/A,866,700+,1 day,49,https://poshmark.ca/listing/Burton-Ride-long-sleeve-top-size-small-66d75ce4038291edd103c8cc
lululemon athletica,"
            Lululemon  Scoop Neck Tank Top size 8
          ","
              C$22
            ","
              US 8
            ","
          Lululemon Scoop Neck Tank Top 
Striped 

Size 8
Flat Lay Measurements
Pit to pit 13”
Length 21”

In excellent preloved condition. See photos for overall condition.

Offers are welcome!
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, Purple, N/A, N/A, N/A",N/A,1500,1100+,2 days,100+,https://poshmark.ca/listing/Lululemon-Scoop-Neck-Tank-Top-size-8-66e74c8b7321b054ef985fad
Guess,"
            Guess Men's Extra Large T-Shirt
          ","
              C$24
            ","
              US XL
            ","
          🔥 Rock the classic Guess logo in style! This black t-shirt features the iconic Guess logo in a bold, eye-catching design. Perfect for casual outings or a night out with friends.

 * Size: Extra Large

#guess #mensfashion #tshirt #black #logo #casualwear #streetstyle

Don't miss out on this amazing deal!
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Black",N/A,72,10+,2 days,--,https://poshmark.ca/listing/Guess-Mens-Extra-Large-TShirt-66e0cf00cf86b1abe73de18e
Nascar,"
            NASCAR Dale Earnhardt Sr #3 Daytona 500 Champion Black T Shirt in Large
          ","
              C$50
            ","
              US L
            ","
          Brand: Nascar Classics 
Description: Black, crewneck, short sleeve t-shirt with the text ""Dale Earnhardt Daytona 500 Champion"" in the front and graphic print at the back. 
Material: 100% cotton 
Condition: Pre-loved - 9/10 
Colour: Black 
Size: Large
Measurements (approx.): 
Pit to pit = 21""
Top to bottom = 27""  

#streetwear  #graphic  #culture  #casual  #Nascar

Product ships from a smoke-free, pet-free space. Oxicleaned and disinfected before packing. Packed in a U-LINE bag and polymailer.   

Let me know if you have any queries and I will be happy to help!

Bundle 2 or more items to save 5% off your entire purchase.

New to Poshmark? Use Promo Code: ANNE_KF for $15 off your first purchase.
        ","Seller Discount: 5% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, Blue, N/A, N/A, N/A",N/A,609,200+,2 days,41,https://poshmark.ca/listing/NASCAR-Dale-Earnhardt-Sr-3-Daytona-500-Champion-Black-T-Shirt-in-Large-66d829ba39a1f66d4bbbd493
John Deere,"
            John Deere |  Pink Hoodie - 18 Month
          ","
              C$15
            ","
              US 18-24M
            ","
          John Deere | Pink Hoodie

Good Used Condition [please inspect all photos for possible wear and marks - It's a used kids hoodie, there are some marks on it]

Size: 18M
Colour: Pink
Material: Cotton/Polyester

Open to offers and bundles!

New to Poshmark? Sign up for a new account now with promo code ALISSAJ87 to get $15 towards your first purchase!
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, N/A",N/A,823,500+,1 day,80,https://poshmark.ca/listing/John-Deere-Pink-Hoodie-18-Month-66bc028a34e253b2ae29c6e6
torrid,"
            Torrid  Blouse
          ","
              C$30
            ","
              US 5X
            ","
          Teal Torrid Blouse
Sleeveless Button Up
Size 6X
100% Polyester
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue",N/A,2235,700+,1 day,73,https://poshmark.ca/listing/Torrid-Blouse-66dfacc49b37c7e2ad29eb33
OVO,"
            OVO Long  Sleeve
          ","
              C$50
            ","
              US L
            ","
          OVO Long Sleeve
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, White, Black",N/A,65,20+,1 day,2,https://poshmark.ca/listing/OVO-Long-Sleeve-66e84018e0f2ce3ccc1f4b6b
VENUS,"
            Venus raglan top with  split neck, oversized loose fit, with long sleeves
          ","
              C$36
            ","
              US M
            ","
          Venus raglan top with split neck, oversized loose fit, with long sleeves. 

* raglan cut sleeves
* split neck
* long sleeves are cuffed
* straight cut and loose fitting 
* straight cut hemline with small side slits
* fabric is very lightweight 
* colours are orange & pink 
* in very good condition 

NOTE: size is medium but it could fit a large also. See measurements below. 

Size M-L
Pit to pit 24”
Waist 48”
Hips 48”
Sleeve length 23” - 24”
Body length 26.5”
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Orange, Pink, N/A, N/A, N/A",N/A,4678,3900+,1 day,100+,https://poshmark.ca/listing/Venus-raglan-top-with-split-neck-oversized-loose-fit-with-long-sleeves-66c1021f7fc826b93ba330b5
MSX,"
            MSX San Francisco 49ers Man's Siz Large Quarter‎ Zip Up  Short Sleeve Polo Shirt
          ","
              C$35
            ","
              US L
            ","
          Pre Owned MSX San Francisco 49ers Man's Siz Large Quarter Zip Up  Short Sleeve Polo Shirt. In excellent condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray",N/A,416,100+,1 day,13,https://poshmark.ca/listing/MSX-San-Francisco-49ers-Mans-Siz-Large-Quarter-Zip-Up-Short-Sleeve-Polo-Shirt-669d96a46da06e911befa9b6
The Beatles,"
            Vintage The Beatles Ringer T-Shirt / Large / 2005
          ","
              C$45
            ","
              US L
            ","
          Pit 21” Length 30” 
Men’s Large
Excellent Condition 🔥 
Dated 2005 Ringer Shirt 

Same Day Shipping 📦
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Gray, N/A, N/A, N/A",N/A,3803,2200+,1 day,100+,https://poshmark.ca/listing/Vintage-The-Beatles-Ringer-TShirt-Large-2005-66917d2ff884712ae5c87e2c
Adidas by Stella McCartney,"
            Adidas Stellasport Oversized Grey and White Mesh Back T-Shirt Size XS
          ","
              C$48
            ","
              US XS
            ","
          This oversized soft t-shirt features: 
• Moisture wicking Climalite technology which helps keep skin dry
• Spacedye patterns giving a Heathered look
• Ribbed round neck and short sleeves
• Dropped shoulder seams
• See-through contrast polyester mesh panels
• adidas STELLASPORT branding logo
Great Used Condition - I find the heathering gets darker in one area near the sleeve (please see the last picture)
Grey = 70% Cotton, 30% Polyester 
White = 100% Polyester
Size XS (bit oversized so it can fit larger sizes depending on how loose you like it)
Pit to pit measurement = 20.5 Inches approximately
From a smoke free house
Bundle and Save
Open to Offers

**items are shipped using reusable packaging when possible
**new to Poshmark? Use code LESTERMG to sign up and get a $15 posh credit!
        ","Seller Discount: 10% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Gray, White, N/A, N/A, N/A",N/A,2236,1100+,1 day,100+,https://poshmark.ca/listing/Adidas-Stellasport-Oversized-Grey-and-White-Mesh-Back-TShirt-Size-XS-660714d391e05343ebe2385e
LuLaRoe,"
            M NWT LulaRoe classic T-shirt​​​​
          ","
              C$20
            ","
              US M
            ","
          Yellow “saved by the bell” themed T-shirt 
NWT 
Measures 18 inches from armpit to armpit and 26 in length
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Yellow, N/A",N/A,4905,2700+,1 day,100+,https://poshmark.ca/listing/M-NWT-LulaRoe-classic-Tshirt-669681cf8fa20770d96c37f0
lululemon athletica,"
            Lululemon Love Crew Short Sleeve T-Shirt - Desert Sun
          ","
              C$22
            ","
              US 2
            ","
          Size 2. Lululemon Love Crew Short Sleeve T-Shirt. 
In the colour “Desert Sun”.
“Lots of reasons to love this tee. Soft cotton fabric, just the right stretch, and a casual fit for everyday of the week.”
Designed for: on the move.
94% Pima cotton, 6% elastane. 

In very good used condition. 
Measurements; armpit to armpit 17”, length 25”. 

From a dog free, smoke free home.

New to Poshmark?
Sign up now with my code PAPERANDTHREADS to save C$15 on your first order.

A-2
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A, N/A",N/A,5328,3600+,1 day,100+,https://poshmark.ca/listing/Lululemon-Love-Crew-Short-Sleeve-TShirt-Desert-Sun-66c9317887aeb635744e845c
Desigual,"
            NWT Desigual Jewelled Long Sleeve Top
          ","
              C$54
            ","
              US XL
            ","
          NWT Desigual long sleeve pretty colour abstract pattern top with a big jewel and small silver bedazzle jewels
Size XL
About 22” pit to pit
About 29” length
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Green, Purple, N/A, N/A, N/A",N/A,553,90+,1 day,30,https://poshmark.ca/listing/NWT-Desigual-Jewelled-Long-Sleeve-Top-66842d6587aeb65d55853843
Lole,"
            💞 Lolë Heathered Grey Henley
          ","
              C$25
            ","
              US S
            ","
          3/4 sleeve with loops to tie the sleeves if you want them rolled

No flaws to note

CLEARANCE SALE
🌟 $5 item
💞 $10 item
💥 50% off item
* minimum $15 spend

New to Posh? Use code D_LAGRA when you sign up and receive a $15 credit.

Bundle with other items from my closet to save on shipping + receive bundle discounts.

F
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, N/A, N/A, N/A",N/A,665,400+,2 days,52,https://poshmark.ca/listing/Lol-Heathered-Grey-Henley-66bc943525b2f2884593f551
