Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
Converse,"
            BRAND‎ NEW UNISEX CONVERSE
          ","
              C$75
            ","
              US 10
            ","
          US SIZE 10 WOMENS 💛💛
US SIZE 8 MENS 💛💛

Soft as a cloud and cool as a classic, the Converse Chuck 70 Hi has all the makings of an iconic sneaker. These sneakers are designed with a bold iridescent colourway that adds a hit of cool vibes as the temperature soars. The Archival star ankle patch with a vintage license plate on the heel reps the brand, while the patent leather upper delivers a premium look and feel.

Converse Chuck 70 Hi features:

The winged tongue gives you a comfortable fit.
35mm rubber taping makes you pop.
OrthoLite insole ensures a soft feel.
OrthoLife cushioning gives you a smooth ride.
Thick rubber outsole ensures durability and delivers superior traction.

*OPEN TO REASONABLE OFFERS*
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Yellow",N/A,115,85+,1 day,17,https://poshmark.ca/listing/BRAND-NEW-UNISEX-CONVERSE-66d4a8059b37c7b7fbaabe83
Hunter,"
            HUNTER black size 40/41 women's rain boots
          ","
              C$89
            ","
              40/41
            ","
          hunter women's size 40/41 rain boots, a few scratches and marks, please see pictures
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black",N/A,263,75+,1 day,8,https://poshmark.ca/listing/HUNTER-black-size-4041-womens-rain-boots-66ddec31f33f71eb3ddd24d7
Nike,"
            Nike air max shoes
          ","
              C$40
            ","
              US 6.5 (Big Girl)
            ","
          Excellent preowned condition 

Please see pictures for details
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Pink, N/A, N/A, N/A",N/A,543,100+,2 days,12,https://poshmark.ca/listing/Nike-air-max-shoes-66b10b130a60d5a1b802a835
Muk Luks,"
            Muk Luks knee-high boots size 9
          ","
              C$45
            ","
              US 9
            ","
          From my personal closet, worn only a few times so in like-new condition!
Only flaw I can see is the knitting has started to come undone at the back of the ankle on the left boot (see pic) but it’s an easy fix with a needle and a thread!

Color is a soft grey with beautiful grey, black, and burgundy plaid knit patches.

Always make an offer!
Bundle and save!

🌿 All items ship in compostable packaging 🌿
        ",N/A,"N/A, N/A, N/A, Gray",N/A,181,65+,2 days,10,https://poshmark.ca/listing/Muk-Luks-kneehigh-boots-size-9-66183e2082dceb38a04e91e8
dlg,"
            DLG women’s 9 black strapy open toe wedge high heel shoes
          ","
              C$40
            ","
              US 9
            ","
          DLG brand. Black strapy wedge heels. Size 9. Brand new condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Brown",N/A,9716,1400+,2 days,100+,https://poshmark.ca/listing/DLG-womens-9-black-strapy-open-toe-wedge-high-heel-shoes-6692dae60a60d5b36f6fb175
Sam Edelman,"
            SAM Edelman BNWT ""Kia"" Pewter Metallic Block Heel New Ankle Strap Embossed
          ","
              C$81
            ",N/A,"
          Sam Edelman ""Kia"" ankle strap block heel Brand new   Retail $195
  A slender ankle strap and block heel make for the most elegant yet comfortable night out on the town. * Ankle strap with buckle closure. * Man made lining with cushioned footbed. * Man made outsole. * Heel Height: 3 1⁄2 in
        ","Seller Discount: 20% off 3+ Bundle, Price Dropped: 10%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A",N/A,3916,2200+,1 day,100+,https://poshmark.ca/listing/SAM-Edelman-BNWT-Kia-Pewter-Metallic-Block-Heel-New-Ankle-Strap-Embossed-66c475dfe48e8653fe99e38f
gentle souls by Kenneth Cole,"
            P184. Gentle Souls by Kenneth Cole Blue Suede Booties w/zipper accents |7.5
          ","
              C$86
            ","
              US 7.5
            ","
          Gentle Souls by Kenneth Cole Blue Suede Booties w/zipper accents |7.5

These beauties are in EUC. 

They are super comfortable and true to size.

Heel Height: 1""
Side zip for access 

Note colours may appear differently from screen to screen.

🚭 Smoke-free home

🐶 Pet-friendly home

I use recycled packaging materials whenever possible.

If you have any questions, please ask!

Offers are always welcome!

Bundle items from my closet and save!

New to Poshmark? Use code BRAVABEAUTIFUL to sign up and save $15 on your first purchase!
        ","Seller Discount: 30% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Blue, Silver, N/A, N/A",N/A,808,300+,1 day,71,https://poshmark.ca/listing/P184-Gentle-Souls-by-Kenneth-Cole-Blue-Suede-Booties-wzipper-accents-75-66d46ec1198524a7286059d5
kate spade,"
            Kate Spade black and white striped sandals bow accent size 6M
          ","
              C$16
            ","
              US 6
            ","
          Good condition except for some minor damage on one of the bows - it's black so you may not even notice- see pic!
        ","Seller Discount: 15% off 3+ Bundle, Price Dropped: 11%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, White, N/A, N/A, N/A",N/A,311,75+,1 day,6,https://poshmark.ca/listing/Kate-Spade-black-and-white-striped-sandals-bow-accent-size-6M-666a563b2d829a73111c8a68
Skechers,"
            Sketchers air-cooled memory foam black and pink size 7 athletic shoes
          ","
              C$45
            ","
              US 7
            ","
          in great shape! 

women's size 7
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Pink, Black",N/A,4190,2200+,1 day,100+,https://poshmark.ca/listing/Sketchers-aircooled-memory-foam-black-and-pink-size-7-athletic-shoes-66a26587d6ab5d564aba6dcb
Jeffrey Campbell,"
            Jeffrey Campbell 3.5” platform (1”) deep blue suede sandals. Size 7.5
          ","
              C$55
            ","
              US 7.5
            ","
          Soft deep blue suede
No blemishes or scratches
Minimal wear on sole
3.5” heel
1” platform 
Slip-on
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, N/A, N/A, N/A",N/A,1079,400+,1 day,58,https://poshmark.ca/listing/Jeffrey-Campbell-35-platform-1-deep-blue-suede-sandals-Size-75-66d6f41428e1e04f28933c5a
Livie & Luca,"
            Livie & Luca boots size 11
          ","
              C$44
            ","
              US 11 (Toddler Girl)
            ","
          New boots
Inner zipper
Leather
        ","Seller Discount: 10% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink",N/A,1015,500+,1 day,87,https://poshmark.ca/listing/Livie-Luca-boots-size-11-66ba79b79a76efdc6f5ed5ab
